,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
231,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson,candidate_Andy Montroll,candidate_Bob Kiss
232,candidate_Andy Montroll,candidate_Kurt Wright,0,0,0
233,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Kurt Wright,0,0
234,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,0,0
235,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
236,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,candidate_Kurt Wright,0
237,candidate_Andy Montroll,0,0,0,0
238,candidate_Dan Smith,0,0,0,0
239,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_Bob Kiss,0
240,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson
241,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson,candidate_Kurt Wright
242,candidate_Andy Montroll,0,0,0,0
243,candidate_Kurt Wright,0,0,0,0
244,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson
245,candidate_Dan Smith,candidate_Andy Montroll,0,0,0
246,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
247,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_Bob Kiss,0
248,candidate_Dan Smith,candidate_Kurt Wright,candidate_Andy Montroll,candidate_James Simpson,candidate_Bob Kiss
249,candidate_Kurt Wright,0,0,0,0
250,candidate_Andy Montroll,candidate_Dan Smith,0,0,0
251,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Andy Montroll,0,0
252,candidate_Dan Smith,candidate_James Simpson,candidate_Bob Kiss,candidate_Andy Montroll,0
253,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,0,0
254,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,candidate_James Simpson
255,candidate_Andy Montroll,candidate_Kurt Wright,candidate_Dan Smith,0,0
256,candidate_Andy Montroll,candidate_Kurt Wright,0,0,0
257,candidate_Dan Smith,candidate_Bob Kiss,0,0,0
258,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,0,0
259,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
260,candidate_Dan Smith,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson
261,candidate_Andy Montroll,candidate_Bob Kiss,0,0,0
262,candidate_Dan Smith,candidate_Andy Montroll,0,0,0
263,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson
